station_id, obs_time, wx, rh, t, td, wdir, wspeed, pressure
SBBH,201706301200,Fair,60,20,12,80,11,918.87 
SBBH,201706301100,Fair,72,17,12,None,0,917.97 
SBBH,201706301000,Fair,82,15,4,130,9,915.29 
SBBH,201706292000,Fair,38,22,6,310,2,916.18 
SBBH,201706291800,Fair,27,24,6,340,6,915.29 
SBBH,201706291600,Fair,36,23,5,50,4,915.29 
SBBH,201706291500,Fair,43,22,6,310,2,916.18 
SBBH,201706291400,Fair,49,21,10,None,0,917.08 
SBBH,201706291300,Fair,52,20,12,80,11,918.87 
SBBH,201706291100,Fair,63,17,12,None,0,917.97 
SBBH,201706291000,Fair,77,14,7,90,19,917.08 
SBBH,201706282000,Fair,53,22,6,310,2,916.18 
SBBH,201706281800,Fair,47,23,5,50,4,915.29 
SBBH,201706281600,Fair,53,24,6,340,6,915.29 
SBBH,201706281500,Partly Cloudy,57,23,5,50,4,915.29 
SBBH,201706281400,Partly Cloudy,68,21,10,None,0,917.08 
SBBH,201706281300,Partly Cloudy,64,21,10,None,0,917.08 
SBBH,201706281200,Partly Cloudy,68,21,10,None,0,917.08 
SBBH,201706281100,Fair,78,19,12,100,11,918.87 
SBBH,201706281000,Fair,88,15,4,130,9,915.29 
SBBH,201706272000,Partly Cloudy,64,20,12,None,0,915.29 
SBBH,201706271900,Partly Cloudy,60,21,12,None,0,915.29 
SBBH,201706271700,Mostly Cloudy,57,22,12,150,4,914.39 
SBBH,201706271600,Partly Cloudy,53,22,12,150,4,914.39 
SBBH,201706271400,Fair,53,21,12,None,0,915.29 
SBBH,201706271300,Fair,49,20,12,None,0,915.29 
SBBH,201706271100,Fair,55,17,12,40,2,913.5 
SBBH,201706271000,Mostly Cloudy,77,14,12,320,9,914.39 
SBBH,201706262000,Partly Cloudy,64,20,12,None,0,915.29 
SBBH,201706261900,Partly Cloudy,60,21,12,None,0,915.29 
SBBH,201706261800,Partly Cloudy,60,22,12,150,4,914.39 
SBBH,201706261700,Mostly Cloudy,57,22,12,150,4,914.39 
SBBH,201706261600,Mostly Cloudy,60,21,12,None,0,915.29 
SBBH,201706261500,Partly Cloudy,60,21,12,None,0,915.29 
SBBH,201706261300,Mostly Cloudy,60,20,12,None,0,915.29 
SBBH,201706261100,Mostly Cloudy,77,16,12,None,0,913.5 
SBBH,201706261000,Fair,88,14,12,320,9,914.39 
SBBH,201706252000,Fair,56,21,12,None,0,915.29 
SBBH,201706251900,Partly Cloudy,53,22,12,150,4,914.39 
SBBH,201706251800,Partly Cloudy,50,23,11,None,0,912.6 
SBBH,201706251700,Partly Cloudy,47,23,11,None,0,912.6 
SBBH,201706251500,Fair,50,22,12,150,4,914.39 
SBBH,201706251400,Fair,56,21,12,None,0,915.29 
SBBH,201706251300,Fair,56,20,12,None,0,915.29 
SBBH,201706251200,Fair,60,19,14,None,0,915.29 
SBBH,201706251100,Fair,68,16,12,None,0,913.5 
SBBH,201706251000,Fair,77,14,12,320,9,914.39 
SBBH,201706242000,Fair,56,21,12,None,0,915.29 
SBBH,201706241800,Partly Cloudy,57,22,12,150,4,914.39 
SBBH,201706241700,Mostly Cloudy,47,24,12,340,2,912.6 
SBBH,201706241500,Mostly Cloudy,53,23,11,None,0,912.6 
SBBH,201706241400,Mostly Cloudy,57,22,12,150,4,914.39 
SBBH,201706241300,Partly Cloudy,64,20,12,None,0,915.29 
SBBH,201706241200,Fair,73,18,14,None,0,914.39 
SBBH,201706241100,Fair,73,18,14,None,0,914.39 
SBBH,201706241000,Fair,82,16,12,None,0,913.5 
SBBH,201706232000,Fair,53,21,12,None,0,915.29 
SBBH,201706231900,Fair,50,22,12,150,4,914.39 
SBBH,201706231800,Mostly Cloudy,50,22,12,150,4,914.39 
SBBH,201706231700,Partly Cloudy,47,23,11,None,0,912.6 
SBBH,201706231600,Partly Cloudy,53,21,12,None,0,915.29 
SBBH,201706231500,Partly Cloudy,47,23,11,None,0,912.6 
SBBH,201706231300,Partly Cloudy,60,20,12,None,0,915.29 
SBBH,201706231200,Fair,64,19,14,None,0,915.29 
SBBH,201706231100,Fair,72,17,12,40,2,913.5 
SBBH,201706231000,Fair,77,16,12,None,0,913.5 
SBBH,201706222000,Fair,60,21,12,None,0,915.29 
SBBH,201706221900,Partly Cloudy,60,21,12,None,0,915.29 
SBBH,201706221800,Partly Cloudy,50,23,11,None,0,912.6 
SBBH,201706221700,Partly Cloudy,53,23,11,None,0,912.6 
SBBH,201706221600,Mostly Cloudy,56,21,12,None,0,915.29 
SBBH,201706221500,Mostly Cloudy,60,21,12,None,0,915.29 
SBBH,201706221300,Mostly Cloudy,64,20,12,None,0,915.29 
SBBH,201706221200,Fair,64,20,12,None,0,915.29 
SBBH,201706221100,Fair,73,18,14,None,0,914.39 
SBBH,201706221000,Fair,77,16,12,None,0,913.5 
SBBH,201706212000,Fair,50,22,12,150,4,914.39 
SBBH,201706211800,Partly Cloudy,47,23,11,None,0,912.6 
